ID,Romance,Scifi,commutetime,peopleaday,smilesaday,renting,Fitnesspriority,Weatherchecker,Newsreader,Cookalot,WorkoutFreq,HealthyeatFreq,Single,Romantictime,Preffirstdate,PhoneBrd,extrovert,healthful,rvromantictime,busy
71,4,2,5,3,2,2,2,3,5,5,4,5,2,3,2,3,5,9,3,8
72,3,2,6,4,2,2,1,3,4,3,4,4,2,2,1,4,6,8,4,8
73,2,3,4,4,3,1,2,3,5,3,3,5,2,3,2,4,7,8,3,8
74,2,3,7,2,2,2,1,3,5,3,5,5,2,2,3,1,4,10,4,9
75,5,3,4,4,4,1,1,3,5,3,2,5,2,4,3,1,8,7,2,7
76,2,3,6,2,2,1,2,4,5,4,5,5,2,2,1,1,4,10,4,9
77,2,2,5,2,2,2,2,4,4,2,3,3,2,2,1,1,4,6,4,8
78,3,3,5,2,2,2,2,4,4,3,4,4,2,2,4,1,4,8,4,8
79,4,3,6,3,3,1,2,3,4,4,4,4,2,3,4,2,6,8,3,7
80,4,5,1,3,3,1,2,3,4,5,4,4,2,3,4,2,6,8,3,7
81,2,2,5,2,2,1,2,5,4,4,3,5,2,2,1,2,4,8,4,8
82,3,3,5,3,2,1,2,3,4,3,4,5,2,3,3,2,5,9,3,7
83,2,3,4,4,2,2,2,3,4,5,4,4,2,4,4,2,6,8,2,6
84,4,5,5,3,2,2,2,3,5,5,4,5,2,3,4,1,5,9,3,8
91,5,3,6,1,2,1,2,3,5,4,5,5,2,1,4,3,3,10,5,10
92,2,3,7,4,3,2,2,3,4,3,4,4,2,4,3,3,7,8,2,6
93,3,5,7,2,3,1,1,3,5,3,3,5,2,2,4,3,5,8,4,9
94,3,2,5,3,2,1,2,4,4,3,4,4,2,3,2,4,5,8,3,7
95,5,3,4,3,2,1,2,4,5,5,3,5,2,3,1,4,5,8,3,8
96,3,4,4,2,2,2,2,3,5,4,5,5,2,2,2,2,4,10,4,9
97,3,4,6,5,2,1,1,3,5,3,4,5,2,2,4,2,7,9,4,9
98,5,4,7,5,2,1,2,3,5,3,3,4,2,3,4,2,7,7,3,8
99,2,3,4,5,2,1,2,2,5,3,2,4,2,3,4,2,7,6,3,8
100,3,1,6,5,3,2,2,3,5,3,3,4,2,2,4,2,8,7,4,9
